objectid,arastirmaci,eser_adi,muellif_adi,muellif_meslegi,muellif_olum,muellif_aile,muellif_memleketi,padisah_donemi,telif_tarih,eser_dili,eser_alt_turu,yazin_turu,baglanti_turu,baglantili_eser_adi,baglantili_eser_yazari,baglantili_eser_dili,baglantili_eser_tarihi,cilt_sayisi,takdim_hediye,tarihsel_kapsam,tematik_kapsam,kaynak,ilave_notlar,sayfa_no
tabib_0048,,Enmuzec-i Tıb,Emîr Çelebi «Seyyid Mehmed Tabîb»,"Tabib, Mısır'da Mehmed Kalâvon Hastanesinde baştabib","1048 (1638), İstanbul'da vefat",,,,1034 (1624),Türkçe,,,,,,,,,,,"İlmî ve amelî olmak üzere bir mukaddime, altı ta'lim ve bir hâtime üzerine müretteb yedi yüz (700) küsur sayfalık eser; birçok bahisleri zamanın tıb usulüne uymaktadır.","Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tabibler Faslı","Kaptan-ı Deryâ Receb Paşa adına te'lif edilmiştir. İstanbul'da Unkapanı'nda bir dükkân kiraladığını ve talebelerinden Ali'nin adına yazdığını beyan ediyor. Nüshaları İstanbul Kütüphanelerinden Ayasofya, Es'ad Efendi ve sair kütüphanelerde vardır.",206
tabib_0049,,Garaibu'l-Hekîm,Emîr Çelebi «Seyyid Mehmed Tabîb»,"Tabib, Mısır'da Mehmed Kalâvon Hastanesinde baştabib",,,,,,,,,,,,,,,,,,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tabibler Faslı",,206
tabib_0050,,Neticetü't-Tıb,Emîr Çelebi «Seyyid Mehmed Tabîb»,"Tabib, Mısır'da Mehmed Kalâvon Hastanesinde baştabib",,,,,,,,,,,,,,,,,,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tabibler Faslı",Bir nüshası Beşiktaş'ta Yahyâ Efendi Dergâhı Kütüphanesinde mevcuttur.,206
tabib_0051,,Mehalik-i Şebabet (terceme),Emin Ahmed Bey «Muhammed Emîn Fehmî Bey»,"Tabib, Tıbbiye Mektebinde muallim","1286 (1868), genç yaşta vefat etmiştir, Eyyüb'te medfundur",,İstanbul'lu,,Neş'eti 1283 (1867),,,Tercüme,,,,,,,,,,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tabibler Faslı",Osmanlı tabiblerinin meşhurlarından idi.,206
tabib_0052,,Hıfzı's-Sıhha,Emin Ahmed Bey «Muhammed Emîn Fehmî Bey»,"Tabib, Tıbbiye Mektebinde muallim",,,,,,,,,,,,,,,,,İki kısım üzerine müretteb olup mukaddimesinde tıb tarihine dair vakıfane malûmat vardır.,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tabibler Faslı",,206
tabib_0053,,Hakayik-i Tababet,Emin Ahmed Bey «Muhammed Emîn Fehmî Bey»,"Tabib, Tıbbiye Mektebinde muallim",,,,,1287 (1870) basılmış,,,,,,,,,,,,(Hıfzı's-Sıhha) adlı eserinin mukaddimesi makamındadır.,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tabibler Faslı",,206
tabib_0054,,Saadet-i Ümem,Emin Ahmed Bey «Muhammed Emîn Fehmî Bey»,"Tabib, Tıbbiye Mektebinde muallim",,,,,,,,,,,,,,,,,,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tabibler Faslı",Bir risalesidir.,206
tabib_0055,,İllet-i Merak,Feyzî Mustafa Efendi «Hayatîzâde»,"Tabib, tabibler reisi",,,,Sultan Dördüncü Mehmed,,,,,,,,,,,,,"Bir mukaddime, dokuz fasıl üzerine müretteb.","Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tabibler Faslı",Sultan Dördüncü Mehmed devri kıymetli tabiblerinden olup zamanında tabibler reisi idi. Oğlu Mehmed Emîn Efendi Şeyhülislâm olmuştur.,207
tabib_0056,,Beyanü'd Dâi'l-Efrengi,Feyzî Mustafa Efendi «Hayatîzâde»,"Tabib, tabibler reisi",,,,,,,,,,,,,,,,,Yirmi fasıl üzerine müretteb.,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tabibler Faslı",,207
tabib_0057,,Vech-i Tesmiye Merezü'l-Betakiye,Feyzî Mustafa Efendi «Hayatîzâde»,"Tabib, tabibler reisi",,,,,,,,,,,,,,,,,Sekiz fasıl üzerine müretteb.,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tabibler Faslı",,207
tabib_0058,,Vechü Tesmiyetü'l-Huma-yi Barid,Feyzî Mustafa Efendi «Hayatîzâde»,"Tabib, tabibler reisi",,,,,,,,,,,,,,,,,On fasıl üzerine müretteb.,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tabibler Faslı",,207
tabib_0059,,Maraz-ı Efrenc,Feyzî Mustafa Efendi «Hayatîzâde»,"Tabib, tabibler reisi",,,,,,,,,,,,,,,,,,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tabibler Faslı",,207
tabib_0060,,İllet-i Vebaiye,Feyzî Mustafa Efendi «Hayatîzâde»,"Tabib, tabibler reisi",,,,,,,,,,,,,,,,,,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tabibler Faslı",,207
tabib_0061,,Resail-i Müşfiye Der Emraz-ı Müşkile,Feyzî Mustafa Efendi «Hayatîzâde»,"Tabib, tabibler reisi",,,,,,,,,,,,,,,,,,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tabibler Faslı",,207
tabib_0062,,Risale-i Feyziyye Fî Lûgati'l-Müfredâtı't-Tıbbiye,Feyzî Mustafa Efendi «Hayatîzâde»,"Tabib, tabibler reisi",,,,,,,,,,,,,,,,,,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tabibler Faslı",Bu eserlerin büyük bir kısmı Veliyyüddin Efendi Kütübhanesinde mevcuttur.,207
tabib_0063,,Hülâsatü't-Tıb,Feyzî Mustafa Efendi «Hayatîzâde»,"Tabib, tabibler reisi","1151 (1738), Eyyüb'te Küçük Emin Efendi'nin yanına defn edilmiştir",,,,,,,,,,,,,,,,,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tabibler Faslı",Bir nüshası Ragıp Paşa Kütübhanesindedir. (Şakayık) Zeyli «Şeyhî»de Edirnekapısı haricinde medfun olduğu yazılı ise de merhum İsmet Efendi'nin (Tekmiletü'ş-Şakayık) adlı eserinde «Tıb maen gitdi Hayatîzâde-i dâna ile» mısra'ının delâleti olan 1151 (1738)'de vefat ettiği belirtilir. Penceresi üzerindeki mufassal manzûmede: «Hekîmbaş-ı sabık kıldı mesken Dâr-ı Ukbayi» tarih mısraı vardır.,207
tabib_0064,,Tedbîr-i Hıfzı's Sıhhati'l-Bedeniye (terceme),Mehmed Emîn Efendi (torunu),Tabib,,Feyzî Mustafa Efendi «Hayatîzâde»'nin torunu,,,,,,Tercüme,Tercüme,,Arap tabiblerinden Reşid ibn-i Ebi'l-Hasen İsraili,,,,,,,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tabibler Faslı",Damat İbrahim Paşa adına terceme etmiştir.,207
tabib_0065,,Müfredât-ı Tıb,Fazlizade Mehmed Çelebi,Tabib,,,İstanbul'lu,,1177 (1764),Türkçe,,,,,,,,,,,,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tabibler Faslı",Fazıl bir zat olup bir nüshası Hamidiye ve Ayasofya kütüphanelerinde mevcuttur. Fatih Kütüphanesinde de fıkıhdan (Dürer) hâşiyesi vardır.,207
tabib_0066,,İlmü'l-Arz ve'l-Meadin,Feyzî Es'ad Bey «Kolağası»,"Tabib, jeoloji ve fizik muallim muavini","1319 (1901), Üsküdar'da Karaca Ahmet Mezaristanına defn edilmiştir",,İznik köylerinde doğmuştur,,,,,,,,,,,,,,Memleketimizde en evvel röntgen şuası tecrübesine muvaffak olan zattır.,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tabibler Faslı",Zamanımız Osmanlı tabiblerinin en zekilerinden olup Tıb mekteblerinde tahsilini ikmalden sonra ilm-i arz (Jeoloji) ve ilm-i hikmet-i tabiîye (Fizik) muallim muavinliği ile vazife ve hizmet görmüştür.,208
tabib_0067,,Eşkâl-i Teşrîhiye,Feyzî Es'ad Bey «Kolağası»,"Tabib, jeoloji ve fizik muallim muavini",,,,,,,,,,,,,,,,,,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tabibler Faslı",,208
tabib_0068,,Hikmet-i Tabiîye-i İbtidaîye,Feyzî Es'ad Bey «Kolağası»,"Tabib, jeoloji ve fizik muallim muavini",,,,,,,,,,,,,,,,,,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tabibler Faslı",,208
tabib_0069,,Röntgen Şuaının Esası ile Tatbikat-ı Tıbbiye ve Cerrahiyesi,Feyzî Es'ad Bey «Kolağası»,"Tabib, jeoloji ve fizik muallim muavini",,,,,,,,,,,,,,,,,,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tabibler Faslı",,208
tabib_0070,,"İlmü'l-Arz (mütercem, müteallik eser)",Fuat Bey «Binbaşı» «Kadızâde»,Tabib,"1323 (1907), âhirete irtihal etmiştir, Üsküdar'da Karacaahmet Kabristanına defnedildi",,Konya'lı,,,,,Tercüme (mütercem),,,,,,,,,"Yirmi (20) şekli ihtiva eden mütercem eser, (Hıfzı's-Sıhha)'ya müteallik.","Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tabibler Faslı",Osmanlı doktorlarının seçkinlerinden olup tıbbın hıfzı's-sıhha şubesi ile arz tabakaları ilminde behresi vardı. Çanakkale Askerî Hastanesinde tabibken tebdil-i hava için İstanbul'a gelmiş ve bu tarihte vefat etmiştir.,208
tabib_0071,,Emraz-ı Umumîye,Faik Mehmed Bey,"Tabib, Askerî Tıbbiyede emraz-ı umumiye muallimi, İzmir fırkası tabibi","1330 (1914), Kadıköy Kuşdili'nde Mahmud Baba civarında defnedildi",,,,,,,,,,,,,,,,Umumî hastalıklar hakkında basılmış eser.,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tabibler Faslı",Hazik tabiblerden bir zat olup İnkılâbtan sonra İstanbul'a gelerek bu tarihte irtihal etmiştir.,208
tabib_0072,,Kara'-ı Vasığa,Faik Mehmed Bey,Tabib,,,,,,,,,,,,,,,,,,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tabibler Faslı",,208
tabib_0073,,Haşerat-ı Emvat,Faik Mehmed Bey,Tabib,,,,,,,,,,,,,,,,,,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tabibler Faslı",,208
tabib_0074,,,Garsuddinzade Şemseddin,"Tabib, Hekîmbaşı",,,,Sultan İkinci Selim,,,,Manzum,,,,,,,,,Türkçe manzûm tıbbî eser.,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tabibler Faslı",Fazıl bir tabibtir. Zamanında «hekîmbaşı»lık rütbesini haiz idi.,209
tabib_0075,,,Hacı Paşa «İsmi Celâleddin Hızır»,"Tabib, Anadolu'da yetişen Türk ulemasının ulularından",820 (1417) küsur tarihinde âhiret alemine göçtü,,"Aslen Konya'lı, sonradan Aydın'a hicretle ikinci vatan, Bayburt'lu Ekmelüddin Hazretlerinin talebesi",,,,,,,,,,,,,,Hal terceleri kitablarımızdan başta (Şakayik-i Numaniye) olmak üzere bu yolda yazılan eserlerimizin hemen hepsinde Aydınlı olduğu yazılı ise de Umumî Kütüphane'de kendi el yazısı ile yazılı (Meşarik-i Şerîf) Şerhi'nin sonundaki ketebesinden aslen Konya'lı olduğu anlaşılıyor.,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tabibler Faslı",Tahsilini memleketinde bitirdikten sonra sırf bilgisini genişletmek için Mısır'a giderek ulemanın büyüklerinden Mübarek Şah-ı Mantıkî'den mantık tahsilini ikmalden sonra fıkırbaşı ve hemşehrisi bulunan Bedreddin Simavî ile fazilet sahibi ve mutasavvıfların büyüklerinden Şeyh Ekmelüddîn Hazretlerinden istifade ve istifaze eyledi. Vücuduna arız olan hastalık dolayısıyla Tıb ilmi tahsili lüzumunu da anlayarak zamanı tabiblerinden tıb tahsîl edip kendisini tedâvi ettiği gibi bu ilimde gösterdiği hazakatin mükâfatı olarak (Maristan-ı Mısır) ismi verilen (Dârü't-Tedâvî) Şifa yurdu'na baş-tabîb tayin olunarak bir müddet insanları tedavi etmiştir. Bundan sonra vatanına avdet ve o tarihte Aydın Meliki olan Aydın Oğlu Mehmet Bey'in davet ve iltiması üzerine Birgi'ye azîmetle tedrîs ve te'lîfe başladı. Senelerce bu şekilde ömür sürerek vefat etmiştir. Eserleri sonraki sayfada listelenmektedir.,209
tabib_0076,,Mecma'ul-Envâr fî Cem'il-Esrar,Hacı Paşa «İsmi Celâleddin Hızır»,Tabib,,,,,,Arapça,,,,,,,,,,,İki cild üzerine müretteb tefsîrdir.,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tabibler Faslı",Bir nüshası Carullah Veliyyüddin Efendi Kütüphanesindedir.,210
tabib_0077,,Mesaliku'l-Kelâm fî Mesaili'l-Kelâm,Hacı Paşa «İsmi Celâleddin Hızır»,Tabib,,,,,,,,,Şerh,Tevali'u'l-Envar,Meşhur müfessir Kadı Beyzavî,,,,,,İlm-i kelâmın inceliklerine ait ma'ruf eserin şerhidir.,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tabibler Faslı",Aydınoğulları'ndan Îsâ Bey adına te'lif edilmiştir.,210
tabib_0078,,Haşiye Alâ Şerh-i Metali'u'l-Envar,Hacı Paşa «İsmi Celâleddin Hızır»,Tabib,,,,,,,,,,,,,,,,,"Eserin metni meşhur Kadı Siracüddin Mahmud Ürmevî'nin, şerhi Allâme Razî'nin olup eski felsefe ve mantık inceliklerinden bahsetmektedir.","Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tabibler Faslı",,210
tabib_0079,,Müntehabu'ş-Şifâ «Şifau'l-Eskam»dan hülâsa,Hacı Paşa «İsmi Celâleddin Hızır»,Tabib,,,,,,Türkçe,,,,,,,,,,,"Tıb ilmine dair eser; birinci bab Tıbbın ilmî ve amelî kısmından, ikinci bab gıdaların, şerbetlerin, devaların terkîb ve çeşitlerinden, üçüncü bab hastalıkların sebeb ve alâmetlerinden bahis olmak üzere üç babtır.","Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tabibler Faslı","Aydınoğlu Mehmet Bey namına müellef eserdir. El yazısı ile yazma kıymetli nüshası Enderûn-i Hümayûn'da Sultan Üçüncü Ahmed Kütübhanesindedir. Birer nüshaları Tire'de İbni Melek, Manisa'da Muradiye kütübhanelerinde olduğu gibi İstanbul kütüphanelerinin de bazılarında vardır.",210
tabib_0080,,Teshîl,Hacı Paşa «İsmi Celâleddin Hızır»,Tabib,,,,,,Türkçe,,,,,,,,,,,«Şifâ»dan küçük Türkçe tıbbî eser.,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tabibler Faslı",Nüshaları zikr edilen kütübhanelerde mevcuttur. Bu iki tıbbî eser Almancaya terceme edildiği şark dillerine vakıf olanlardan Doktor Hans Bart tarafından ifade edilmiştir.,210
tabib_0081,,Şifau'l-Eskam ve Levau'l-Âlâm,Hacı Paşa «İsmi Celâleddin Hızır»,Tabib,,,,,"782 (1468), Ayasloğ'da te'lif edilmiştir",Arapça,,,,,,,,,,,İsminin delâleti gibi tıbba müteallik büyük eserdir.,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tabibler Faslı",Müellif hattı ile yazılı nüshası Enderun'daki Sultan Üçüncü Ahmet Kütübhanesindedir.,210
tabib_0082,,Ferîde,Hacı Paşa «İsmi Celâleddin Hızır»,Tabib,,,,,,Arapça,,,,,,,,,,,"Tıb ilminden üç bab üzerine müretteb eser; birinci babı (Külliyat-ı İlm-i Tıb), ikinci babı (Havassu'l-Ağdiyye ve'l-Edviyye), üçüncü babı (Ebabu'l-Ezz-Merâ ve'l-Alâmat ve'l-Mualecât)'dan bahsetmektedir.","Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tabibler Faslı",Müellifin yazısı ile muharrer nüshası Yeni Cami Kütübhanesindedir.,210
tabib_0083,,"El-Kemiyyü'l-Celâlî (Kenaşe, Muhtıra-i Tıb)",Hacı Paşa «İsmi Celâleddin Hızır»,Tabib,,,,,,Arapça,,,,,,,,,,,Dört makale üzerine müretteb tıbbî eser. Asıl ismi (es-Saadetü ve'l-İkbal) olup miyyü'l-Celâlî ismi ile tesmiye ettiği mezkürdür. Üçüncü bir ismi de lügât bakımından «aslı» mânâsında olan (Kenaşe) ismi ile de ma'rûftur.,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tabibler Faslı",Bir nüshası Lâleli Kütüphanesindedir. (Kem) Türkçede (Yen) manasındadır. (Kemiyyu'l-Celâlî) müellifin ismi olan Celâleddin Hızır'ın yen'inde kolaylıkla taşıdığı (Muhtıra-i Tıb) demektir.,210
tabib_0084,,Gayetü'l-Menâ fî Tedbîri'l-Merzâ (terceme),Hasan Efendi,"Tabib, Tabîb-i Hassa Medresesinde müntehi son müderris",,,,Vezir İbrahim Paşa zamanı,,,,Tercüme (genişletilmiş),Tercüme ve genişletme,,Perakilos Çermânî'nin yeni tıb kimyası,,,,,,,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tabibler Faslı",Genişletilmiş bir halde terceme etmiştir.,211
tabib_0085,,Neticetü'l-Fikriyye fî Tedbîr-i Velâdeti'l-Bikriyye,Hafız Hasan Efendi «Körükzâde-Gevrekzâde»,"Tabib âlim, Ser-Tabîb-i Şehriyari (Padişah'ın baş doktoru)","1216 (1801), İstanbul'da vefat ederek Eyyüb'te Şerifzâde Mehmet Molla'nın civarına defnedilmiştir",İstanbul'lu Abdullah Efendi'nin oğlu,,,1183 (1770) Rus Seferinde Ordu hekîmbaşı'sı idi,,,,,,,,,,,,Beş düstur bir hatime üzerine müretteb eser; hal tercemesinin büyük bir kısmı bu eserin başında yazılıdır. Akciğer veremi ile cüzzam hastalıkları hakkındaki fikirleri dikkate şayandır.,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tabibler Faslı","Tabib âlimlerden olup 1200 (1786) tarihinde Ser-Tabîb-i Şehriyari ünvanına nail olmuştur. Bir ara Halep Mevleviyeti, müteakıben Mekke-i Mükerreme pâyesi kendisine verildi. Tıb ilmini İbni Sina'nın «Kanun»unun mütercimi ismi aşağıda geçecek olan Tokat'lı Mustafa Efendi ile damadı İsmail ve «Reis'ül-Etibba» Müneccimbaşızâde Mehmet Emîn Efendilerden tahsil etmiştir.",211
tabib_0086,,ed-Dürretü'l-Mensûriyye fî Tercemeti'l-Mansuriyye,Hafız Hasan Efendi «Körükzâde-Gevrekzâde»,"Tabib âlim, Ser-Tabîb-i Şehriyari",,,,,,,,Tercüme,,,,,,,,,,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tabibler Faslı",,211
tabib_0087,,"Sırru'l-Esrar (terceme, dördüncü makale)",Hafız Hasan Efendi «Körükzâde-Gevrekzâde»,"Tabib âlim, Ser-Tabîb-i Şehriyari",,,,,,,,Tercüme,Tercüme,Te'sîsü's-Siyase fî Tedbîri'r-Riyase,"Meşhur hakîm Aristo'nun Yunanca, sonradan arapçaya terceme edilen eseri",,,,,,,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tabibler Faslı",Eserin dördüncü makalesini Sırru'l-Esrar ismi ile terceme etmiştir.,211
tabib_0088,,İlm-i Ledünnî (terceme),Hafız Hasan Efendi «Körükzâde-Gevrekzâde»,"Tabib âlim, Ser-Tabîb-i Şehriyari",,,,,,,,Tercüme,Tercüme,,İmam-ı Gazâlî,,,,,,,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tabibler Faslı",Bu tercemeden Celvetiye Tarîkatine mensub olduğu anlaşılmaktadır.,211
tabib_0089,,Kıssa-yi Yûsuf Aleyhisselâm,Hafız Hasan Efendi «Körükzâde-Gevrekzâde»,"Tabib âlim, Edirne Kadısı",,,,,,,,,İktibas,,Meşhur tarihçi Mîr-hond,,,,,,Tarihî eser.,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tabibler Faslı",Edirne Kadısı iken meşhur tarihçi Mîr-hond'un eserlerinden iktibas yoluyla yazmıştır.,211
tabib_0090,,Kısas-ı Enbiya-i Benî İsrail,Hafız Hasan Efendi «Körükzâde-Gevrekzâde»,"Tabib âlim, Edirne Kadısı",,,,,,,,,İktibas,,Meşhur tarihçi Mîr-hond,,,,,,Tarihî eser.,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tabibler Faslı",,211
tabib_0091,,Tahrîb-i Beytü'l-Makdis,Hafız Hasan Efendi «Körükzâde-Gevrekzâde»,"Tabib âlim, Edirne Kadısı",,,,,,,,,İktibas,,Meşhur tarihçi Mîr-hond,,,,,,Tarihî eser. Devamı sayfa 212'de.,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tabibler Faslı",Bu zat zamanında İspanya'dan hicret eden Musevî doktorlarından İlyas bin Abram'ın Arapça (Mecennetü't-Tâun ve'l-Vebâ) ismindeki eserini Arapçadan genişleterek terceme ettiği (Gayetü'l-Menâ'l-Menâ fî Tedbîri'l-Merzâ) da tıbbî eserleri cümlesindendir.,211
tabib_0092,,Mürşidü'l-Lübafî Tercemeti Espağriba (terceme),Hafız Hasan Efendi «Körükzâde-Gevrekzâde»,"Tabib âlim, Ser-Tabîb-i Şehriyari",,,,,,,,Tercüme,Tercüme,,Hekîm Peraklîyos,,,,,,,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tabibler Faslı",Hekîm Peraklîyos'un Arapçaya terceme edilmiş eserini de türkçeye terceme etmiştir. Nüshası Yıldız Kütüphanesindedir.,212
tabib_0093,,Şemsiyyetü'l-Mansûre,Hafız Hasan Efendi «Körükzâde-Gevrekzâde»,"Tabib âlim, Ser-Tabîb-i Şehriyari",,,,,1209 (1794) tarihinde ikmal edilmiştir,,,Tercüme,Tercüme,Tabakatü'l-Etibbâ,İbni Sinan'ın muallimi Ebû Mansur Hasan ibn-i Nûhu'l-Gamerî (asıl adı Ganî ve Menî),,,,,,Terceme suretiyle meydana getirdiği tıbbî eserlerinin en büyük ve ehemmiyetlisi.,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tabibler Faslı",Mütercim hata ederek (Dürretü'l-Mensûriyye fî Tercemet'iL-Mansuriyye) adını vermiştir. Mütercimin kendi el yazısı ile yazılı nüsha müellif (Bursalı Mehmed Tâhir) tarafından görülmüştür.,212
tabib_0094,,Nikrîs,Hafız Hasan Efendi «Körükzâde-Gevrekzâde»,"Tabib âlim, Ser-Tabîb-i Şehriyari",,,,,,Türkçe,,,,,,,,,,,,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tabibler Faslı",Bu mühim tercemeden başka (Nikrîs) hakkında Türkçe bir risalesi de vardır. Vefat tarihi «Ek! etdi Gevrekzâde'yi aç gözlü felek» mısra'ı olmak üzere menkuldür.,212
tabib_0095,,,"Hüseyin Remzî Bey «Evliya», «Miralay»","Tabib, fâzıl ve mukdim bir zat","1314 (1898), Kasımpaşa'da Bahriye Dairesi karşısındaki Türabî Dergâhı'nda medfundur",,"1255 (1839), İstanbul'da doğmuştur",,,,,,,,,,,,,,"Tıbbî eserleri ömrünün müddeti 58 kadar olup bazıları: (Dürer-i Esdaf), (Müntehabat-ı Hüseyin Remzî), (İhtimar), (Erbaa-yi Kemal), (Rehber-i Hakikat), (Emraz-ı İnsan), (Âdâb-ı Ta'am), (Fen-i Mikrobi-yi Cerrahî), (Tarih-i Tıb), (İlm-i Hayvanat-ı Tıbbiye), (Tıbb-ı Nebevî), (Terakkiyat-ı Tıbbiye), (Tarih-i Tabiî), (Mir'âtü'l-Beyt), (Hıfz-ı Sıhhat-i Askerî), (Mevâlid-i Selâse), (Kuduz İlleti ve Tedâvisi), (Ömür ve Âfiyet-i Beşer), (Tababet-i Arap), (Ahlâk-ı Hamîdî), (Zerîa-yi Âdâb-ı Kemal-i Luhûm), (Aşı Ameliyatı), (Hıfz-ı Sıhhat-ı Müteehhilîn), (Hıfz-ı Sıhhat-i Şübban), (Jeotheni), (İlm-i Hayvanat), (Mikrop), (Hayvanatın Teşrih ve Fizyolojisi), (Rehnuma-i Teftîş-i Luhûm), (Tedâvi-i Baledlik) ve sairedir.","Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tabibler Faslı",Tıbbiye Mektebini bitirdikten sonra kuduz hastalığı (Dâu'l-Kelb) tedâvisinin kâşifi olan Doktor Pastör'den tahsiletmek üzere (1302 (1886) senesinde padişahın emri ile Paris'e gönderilmiştir. Osmanlı Tabibler Cem'iyyet-i Tıbbiye-i Osmaniyye Cemiyeti Azası oldukları gibi Paris'in Maarif-i kadîme-i Şarkiyye Cemiyet-i İlmiyyesi kurucu âzasından idiler. Güzel ahlâklarından nâşi «Evliya Hüseyin Bey» şöhreti ile ma'ruf olmuşlardı.,212
tabib_0096,,Menafiu'l-İnsan,Mustafa Hami Paşa «Mirliva»,"Tabib, Askerî Şura âzası","1295 (1879), Eyyüb'te medfun",,,,,,,,,,,,,,,,Otuzu mütecaviz faydalı tıbbî eserlerinden biri.,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tabibler Faslı","Tıbbiye Mektebinden yetişen ma'ruf tabiblerden olup Hicaz Tabibliğinde, sonradan Askerî Şura âzalığında bulunmuştur. Zekî, çalışkan, fazıl bir zat olup otuzu mütecaviz faydalı tıbbî eserlerin neşrine muvaffak olmuştur.",213
tabib_0097,,Fenn-i Sibahat,Mustafa Hami Paşa «Mirliva»,"Tabib, Askerî Şura âzası",,,,,,,,,,,,,,,,,,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tabibler Faslı",,213
tabib_0098,,İlm-i Nebadat,Mustafa Hami Paşa «Mirliva»,"Tabib, Askerî Şura âzası",,,,,,,,,,,,,,,,,,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tabibler Faslı",,213
tabib_0099,,Kimya,Mustafa Hami Paşa «Mirliva»,"Tabib, Askerî Şura âzası",,,,,,,,,,,,,,,,,,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tabibler Faslı",,213
tabib_0100,,Hıfz-ı Sıhhat,Mustafa Hami Paşa «Mirliva»,"Tabib, Askerî Şura âzası",,,,,,,,,,,,,,,,,,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tabibler Faslı",,213
tabib_0101,,Fenn-i Kıyafet,Mustafa Hami Paşa «Mirliva»,"Tabib, Askerî Şura âzası",,,,,,,,,,,,,,,,,,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tabibler Faslı",,213
